timestamp, name, pci.bus_id, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/03/27 13:18:40.180, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:43.180, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 82 %, 65 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:43.180, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:46.181, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 68 %, 45 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:46.181, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:49.182, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 54 %, 36 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:49.182, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:52.182, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 57 %, 44 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:52.182, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:55.183, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 66 %, 35 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:55.183, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:18:58.184, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 52, 74 %, 56 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:18:58.184, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:01.185, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 81 %, 44 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:01.185, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:04.185, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 86 %, 62 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:04.186, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:07.193, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 62 %, 32 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:07.193, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:10.194, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 77 %, 55 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:10.194, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:13.194, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 86 %, 51 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:13.195, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:16.195, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 88 %, 71 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:16.195, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:19.196, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 81 %, 44 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:19.196, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:22.196, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 89 %, 68 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:22.197, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:25.197, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 85 %, 51 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:25.197, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:28.198, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 80 %, 65 %, 16384 MiB, 5699 MiB, 10461 MiB
2023/03/27 13:19:28.198, Tesla V100-PCIE-16GB, 00000000:D8:00.0, 510.39.01, 28, 0 %, 0 %, 16384 MiB, 16160 MiB, 0 MiB
2023/03/27 13:19:31.198, Tesla V100-PCIE-16GB, 00000000:3B:00.0, 510.39.01, 51, 66 %, 44 %, 16384 MiB, 5699 MiB, 10461 MiB
